weekday,hour,tweet_length,mentions_count,urls_count,photos_count,hashtags_count,quote_url_count,video_count,retweets_count,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive
Thursday,22,128,2,2,2,2,,0,0,0,0,0,0,1,0,0,1,0,2
Thursday,20,269,2,2,51,8,,1,0,0,1,0,1,1,0,0,2,0,2
Thursday,20,135,2,2,2,2,,0,0,0,0,0,0,1,0,0,0,1,1
Thursday,20,298,2,27,153,60,,1,0,0,2,0,0,2,2,0,2,2,2
Thursday,18,256,2,2,204,11,,1,0,0,1,0,0,1,0,0,1,0,1
Thursday,18,253,2,2,2,2,,0,0,0,0,0,0,0,1,1,0,1,2
Thursday,15,110,2,2,2,2,,0,0,0,1,0,0,1,0,2,1,1,1
Thursday,14,192,2,2,2,2,,0,0,0,1,0,0,1,0,0,0,1,1
Thursday,13,241,2,2,2,2,,0,0,0,0,0,0,1,0,0,2,0,2
Thursday,11,210,2,2,2,2,,0,0,0,1,0,0,1,0,1,1,1,1
Thursday,8,279,2,2,2,2,,0,0,0,0,0,0,1,0,0,1,0,1
Thursday,4,255,2,2,2,2,,0,0,0,0,0,1,3,1,0,1,2,3
Thursday,3,118,2,2,2,2,,0,0,0,0,0,0,1,0,0,0,1,1
Thursday,3,245,2,63,2,23,,0,0,0,1,0,1,2,0,1,1,1,2
Thursday,2,96,2,2,2,2,,0,0,0,1,0,0,1,0,0,1,0,2
Thursday,1,255,2,2,2,2,,0,0,0,1,0,0,1,0,1,1,0,2
Thursday,0,181,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,1
Tuesday,23,81,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Tuesday,23,130,2,2,2,2,,0,0,0,2,0,0,2,0,1,0,0,2
Tuesday,23,293,2,29,51,2,,1,0,0,0,0,0,1,0,0,0,0,4
Tuesday,23,183,2,2,2,2,,0,0,0,0,0,0,0,0,1,2,2,2
Tuesday,23,168,2,100,2,2,,0,0,0,1,0,0,2,0,1,1,0,2
Tuesday,23,139,2,2,2,2,,0,0,0,1,0,0,1,0,1,1,0,2
Tuesday,23,201,2,2,2,2,,0,0,0,3,0,0,3,0,2,3,0,5
Tuesday,23,167,2,85,2,2,,0,0,0,0,0,0,0,0,0,0,0,1
Tuesday,23,133,2,2,2,2,,0,0,0,0,0,0,1,0,0,0,0,1
Tuesday,23,138,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,1
Tuesday,23,136,2,2,2,2,,0,0,0,0,0,0,1,0,0,0,0,1
Tuesday,23,116,2,2,2,2,,0,0,0,0,0,0,1,0,1,0,1,1
Tuesday,23,124,2,76,2,2,,0,0,0,0,0,0,0,0,0,1,0,1
