"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"300",0,5,0,0,2,0,2,2,1,2
"301",0,0,0,0,0,0,0,0,0,0
"302",0,1,0,0,1,0,0,2,0,2
"303",0,3,0,0,4,1,0,3,1,5
"304",0,0,0,0,0,0,0,0,0,0
"305",0,2,1,0,1,0,0,2,2,3
"306",0,1,0,0,2,0,1,2,0,2
"307",0,0,0,0,0,0,0,0,0,1
"308",0,0,0,0,0,0,0,0,0,0
"309",0,0,1,0,0,0,0,0,1,0
"310",0,1,0,0,0,0,0,0,0,1
"311",0,0,0,0,0,0,0,1,0,2
"312",0,0,1,0,0,0,0,0,1,0
"313",0,0,0,0,0,0,0,0,0,0
"314",0,0,0,0,0,0,0,2,0,4
"315",1,0,0,1,0,1,0,0,1,4
"316",1,0,3,1,1,2,0,0,3,2
"317",0,1,1,0,1,0,0,1,1,4
"318",0,0,0,0,0,0,0,0,0,0
"319",0,0,0,0,0,0,0,0,0,0
"320",0,0,1,0,0,0,0,0,1,1
"321",0,0,0,0,1,0,0,1,0,1
"322",0,0,0,0,0,1,0,0,1,1
"323",0,1,0,0,1,0,0,0,0,4
"324",0,1,0,0,1,0,1,1,0,1
"325",0,0,0,0,0,0,0,0,0,1
"326",0,0,1,0,0,0,0,0,1,0
"327",0,0,0,0,0,0,0,0,0,1
"328",0,0,2,0,0,0,0,0,2,0
"329",0,0,0,0,1,0,0,1,0,4
"330",0,1,0,0,0,0,0,0,0,1
"331",1,0,0,1,1,0,0,1,2,2
"332",0,0,0,0,0,0,0,0,0,1
"333",0,0,0,0,0,0,0,0,0,1
"334",0,0,0,0,0,0,0,1,0,2
"335",0,1,0,0,1,0,0,1,1,3
"336",0,0,0,0,0,0,0,0,1,1
"337",0,0,0,0,0,0,0,2,0,3
"338",1,2,1,2,3,2,2,2,1,4
"339",1,1,2,1,1,1,1,2,2,6
"340",0,0,0,0,0,0,0,0,0,0
"341",0,0,1,0,0,0,0,0,1,1
"342",0,1,0,0,1,0,0,0,0,4
"343",1,1,0,0,1,0,1,1,0,2
"344",0,1,1,0,1,0,1,1,1,1
"345",0,0,0,0,0,0,0,0,0,3
"346",0,0,0,0,0,0,0,1,1,0
"347",0,0,0,0,0,0,0,1,1,0
"348",0,0,0,0,0,0,0,0,1,1
"349",0,0,0,0,0,0,0,0,0,0
"350",0,0,1,0,0,0,0,0,1,0
"351",0,0,0,0,0,0,0,0,0,1
"352",0,2,0,0,2,0,0,2,0,6
"353",0,0,0,0,0,0,0,0,0,2
"354",0,0,1,0,1,0,0,1,1,2
"355",1,0,0,0,1,0,0,1,1,2
"356",0,1,0,0,1,0,1,1,0,2
"357",0,1,1,0,0,2,1,1,3,1
"358",1,1,0,0,1,0,0,1,2,3
"359",3,0,0,0,0,0,0,2,3,1
"360",0,1,0,0,1,0,0,1,0,2
"361",2,1,2,3,2,3,1,2,3,3
"362",0,0,0,0,1,0,1,2,0,6
"363",0,0,0,0,1,0,0,1,0,4
"364",0,1,0,0,0,0,0,1,0,1
"365",0,0,0,0,0,0,0,1,0,0
"366",0,3,1,0,2,0,0,2,2,3
"367",0,1,1,0,1,0,1,1,1,1
"368",0,1,0,0,1,0,1,1,0,1
"369",0,1,1,0,1,0,0,1,1,2
"370",0,1,0,0,2,0,1,1,0,3
"371",0,0,0,0,0,0,0,0,0,2
"372",0,1,1,0,0,0,0,0,1,1
"373",0,0,1,0,1,0,0,1,1,1
"374",2,0,3,1,0,1,0,1,3,0
"375",0,0,1,0,1,0,0,1,1,2
"376",0,1,0,1,1,1,1,1,1,1
"377",0,1,0,0,0,0,0,0,0,1
"378",0,0,0,0,0,0,0,0,0,0
"379",0,0,1,0,0,0,0,0,2,2
"380",0,0,0,0,1,0,0,1,0,2
"381",1,1,1,0,1,0,1,2,1,3
"382",0,0,0,0,0,0,0,0,1,2
"383",0,2,0,0,1,0,0,1,0,1
"384",0,0,0,0,0,0,0,0,0,1
"385",1,2,1,0,2,0,1,2,3,2
"386",0,0,0,0,0,0,0,0,0,0
"387",0,4,0,0,4,0,0,0,0,5
"388",0,1,0,1,1,1,1,1,1,4
"389",0,1,0,0,0,0,0,1,1,1
"390",0,1,1,0,1,0,1,1,1,2
"391",0,0,0,0,1,0,0,1,0,1
"392",0,1,1,1,0,0,0,0,2,0
"393",0,0,0,0,1,0,1,2,0,5
"394",1,0,1,0,0,0,0,0,0,1
"395",0,0,1,0,1,0,0,1,2,2
"396",2,0,0,1,0,1,0,0,2,0
"397",0,0,1,0,0,0,0,0,1,0
"398",0,0,2,0,0,1,0,0,4,1
"399",0,0,1,0,0,0,0,0,1,0
"400",0,1,0,0,2,0,1,2,1,3
"401",0,0,1,0,0,0,0,0,2,1
"402",1,0,1,0,0,0,0,0,1,0
"403",0,1,0,0,3,0,2,5,0,6
"404",0,0,0,0,0,1,0,1,1,3
"405",0,0,1,0,1,0,0,0,1,1
"406",0,0,0,0,0,0,1,0,0,0
"407",0,0,1,0,1,0,0,1,1,4
"408",0,0,0,0,0,0,0,1,1,2
"409",1,1,2,0,2,1,1,1,4,1
"410",0,0,0,0,0,0,0,0,0,1
"411",0,2,0,0,2,0,1,2,0,2
"412",0,0,0,0,0,0,0,0,0,1
"413",0,0,1,0,0,0,0,0,1,0
"414",0,0,1,0,0,0,0,0,1,0
"415",2,2,2,2,0,2,0,2,4,3
"416",0,0,0,0,0,0,0,0,1,0
"417",0,0,1,0,0,0,0,0,1,0
"418",0,0,0,0,0,1,0,0,1,0
"419",1,0,0,2,1,1,1,0,1,1
"420",0,0,0,0,0,0,0,0,0,1
"421",1,1,1,1,0,1,0,2,2,3
"422",0,1,0,0,0,0,0,1,0,2
"423",0,2,1,0,2,1,1,2,1,4
"424",0,0,1,0,0,1,0,1,2,2
"425",0,0,0,0,0,0,0,0,0,1
"426",0,1,0,0,1,0,0,1,0,1
"427",0,2,1,0,1,0,0,2,1,2
"428",0,0,0,0,0,0,0,0,0,0
"429",0,0,0,0,0,0,0,1,0,0
"430",1,3,0,0,3,0,2,2,2,4
"431",0,3,0,0,3,0,1,2,0,3
"432",0,0,0,0,0,0,0,0,0,1
"433",0,0,0,0,0,2,0,0,0,0
"434",0,1,0,0,1,0,0,1,1,3
"435",0,1,0,0,1,0,0,1,0,2
"436",2,0,0,1,1,2,1,0,2,0
"437",0,0,0,0,0,0,0,0,0,1
"438",1,1,0,0,1,0,0,1,0,3
"439",0,0,0,0,0,0,1,0,0,0
"440",1,1,1,0,2,0,0,1,2,3
"441",0,0,1,0,0,1,0,0,1,0
"442",0,0,0,0,0,0,0,0,0,0
"443",0,1,0,0,0,0,0,1,1,1
"444",0,0,0,0,2,0,1,1,0,3
"445",1,2,1,1,1,0,1,2,0,2
"446",0,0,0,0,0,0,0,0,0,2
"447",0,0,1,0,0,0,0,0,1,1
"448",0,1,1,0,1,0,0,1,1,3
"449",1,1,0,0,3,1,0,0,1,4
"450",0,0,0,0,0,0,0,0,0,1
"451",0,2,0,1,2,0,0,1,1,1
"452",1,1,0,1,0,1,0,1,2,1
"453",0,0,0,0,0,0,0,1,0,1
"454",0,2,0,0,2,0,0,0,1,5
"455",0,3,0,0,1,2,1,4,2,2
"456",0,0,0,0,1,0,0,0,0,1
"457",0,0,1,0,0,0,0,0,1,1
"458",0,0,0,0,0,0,0,0,0,0
"459",1,1,1,1,2,1,0,1,2,3
"460",0,0,0,0,1,0,2,1,0,1
"461",0,0,0,0,0,0,0,0,0,2
"462",0,0,0,0,0,0,0,0,0,1
