weekday,hour,tweet_length,mentions_count,urls_count,photos_count,hashtags_count,quote_url,video,retweets_count,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive
Tuesday,21,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuesday,20,180,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tuesday,19,134,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,2,2
Tuesday,16,255,0,0,0,0,0,0,0,0,2,1,1,2,0,0,2,2,3
Tuesday,14,53,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,1,1
Tuesday,13,82,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
Tuesday,11,239,0,0,0,0,0,0,0,0,3,0,0,4,1,2,3,0,4
Tuesday,10,130,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Tuesday,4,190,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Tuesday,4,255,0,1,0,0,0,0,0,0,1,0,0,2,1,1,2,1,3
Tuesday,4,96,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1
Tuesday,3,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuesday,3,51,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tuesday,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Tuesday,0,301,0,0,1,0,0,1,0,0,2,0,0,2,0,0,2,0,5
Saturday,23,304,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
Saturday,22,106,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Saturday,22,95,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
Saturday,20,148,0,0,0,0,0,0,0,0,2,1,0,2,0,2,2,0,4
Saturday,20,301,0,1,3,9,0,1,0,1,0,0,0,0,0,0,0,1,3
Saturday,19,300,0,1,0,2,0,1,0,0,2,0,0,3,0,0,3,0,3
Saturday,18,125,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,0,3
Saturday,17,290,0,0,1,0,0,1,0,0,3,0,1,1,0,0,0,1,3
Monday,21,119,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,2,0
Monday,21,124,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monday,21,180,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,2
Monday,19,191,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,2
Monday,19,139,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0
Monday,15,308,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2
Monday,3,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sunday,21,253,0,0,0,0,0,0,0,0,0,2,0,1,2,0,1,2,1
Sunday,19,278,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,1,4
Sunday,19,245,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
Sunday,18,255,0,0,0,0,0,0,0,1,1,1,0,3,1,1,3,2,3
Sunday,18,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sunday,16,254,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1
Sunday,12,292,2,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3
Sunday,6,269,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,1,3
Sunday,5,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunday,2,249,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,2
Sunday,0,126,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,2
