"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"835",0,0,0,0,0,0,0,0,0,0
"836",0,0,0,1,1,1,0,0,1,1
"837",0,0,0,0,2,0,0,0,0,2
"838",0,0,0,0,0,0,0,0,0,0
"839",0,0,0,0,0,0,0,0,0,0
"840",1,0,0,0,1,0,0,0,1,1
"841",0,1,0,2,1,2,1,1,4,3
"842",0,0,0,0,0,0,0,0,0,0
"843",1,1,1,1,1,1,0,1,1,1
"844",0,0,0,0,0,0,0,0,0,0
"845",1,1,1,1,0,1,0,1,1,4
"846",0,0,0,0,0,0,0,0,0,0
"847",0,1,0,0,1,0,0,1,0,2
"848",0,0,0,0,0,0,0,0,1,0
"849",0,0,0,0,0,0,0,0,0,2
"850",1,0,1,1,0,1,0,1,1,2
"851",0,2,0,0,2,0,2,4,1,4
"852",0,0,0,0,0,0,0,0,1,0
"853",0,1,0,0,1,0,1,1,0,1
"854",1,1,0,1,1,0,1,1,2,1
"855",0,0,0,0,0,0,0,0,0,0
"856",0,0,0,0,0,0,0,0,0,0
"857",1,1,1,0,1,0,0,1,1,1
"858",0,0,1,0,0,0,0,1,2,1
"859",0,1,0,0,1,0,0,1,0,1
"860",1,0,0,0,0,0,0,0,1,0
"861",0,0,0,0,0,0,0,0,0,0
"862",0,0,0,0,0,0,0,0,0,0
"863",0,1,0,0,0,0,0,0,0,0
"864",0,0,0,0,0,0,0,0,0,0
"865",0,0,0,0,0,0,0,0,0,0
"866",0,0,0,0,0,0,0,0,0,0
"867",0,0,0,0,1,0,0,0,0,1
"868",0,0,0,0,0,0,0,0,0,0
"869",1,1,0,0,0,0,0,0,2,0
"870",0,2,0,1,1,0,0,0,1,2
"871",1,0,0,1,0,0,1,0,1,0
"872",0,0,0,0,0,0,0,0,0,0
"873",0,0,0,0,0,0,0,2,0,2
"874",1,0,1,1,0,1,0,0,1,0
"875",0,0,0,0,0,0,0,0,0,0
"876",1,0,4,1,1,1,0,0,2,2
"877",0,0,0,0,1,0,0,0,0,3
"878",0,1,0,0,0,0,0,0,1,0
"879",0,0,0,0,0,0,0,0,0,0
"880",1,0,0,1,1,2,0,2,2,4
"881",1,1,1,0,0,0,0,0,1,0
"882",0,0,0,0,0,0,0,0,0,0
"883",0,1,0,1,1,0,0,1,0,1
"884",1,0,0,1,0,0,0,1,1,0
"885",0,0,0,0,2,2,0,2,0,2
"886",0,0,0,0,0,0,0,0,0,0
"887",0,0,0,0,2,0,0,2,0,2
"888",1,0,1,1,1,1,0,1,1,1
"889",0,0,0,0,0,0,0,0,0,0
"890",0,2,0,0,4,1,2,3,1,6
"891",0,0,0,0,0,0,0,0,0,0
"892",1,0,0,1,0,0,1,0,2,0
"893",0,1,0,0,0,0,0,0,0,1
"894",0,1,0,0,0,0,0,0,0,0
"895",0,1,0,0,0,0,0,0,0,0
"896",0,0,0,0,0,0,0,0,0,0
"897",1,0,1,1,1,1,0,1,1,1
"898",1,0,1,1,1,1,0,1,1,1
"899",0,0,0,0,0,0,0,0,0,0
"900",0,0,0,0,0,0,0,0,0,0
"901",1,4,2,0,2,1,0,1,3,2
"902",0,3,0,0,1,0,1,1,0,1
"903",1,1,1,2,1,1,0,1,1,1
"904",0,2,0,0,0,0,0,2,0,1
"905",1,0,1,1,1,1,0,1,1,1
"906",1,1,0,1,0,1,0,0,1,0
"907",0,1,0,1,1,1,1,1,2,3
"908",0,1,0,0,0,0,0,1,0,1
"909",1,0,1,1,0,1,0,0,1,0
"910",0,0,1,0,2,0,0,2,1,2
"911",0,1,0,2,0,1,0,0,2,0
"912",0,0,0,0,0,0,0,2,0,0
"913",0,0,0,0,0,0,0,0,0,1
"914",1,1,1,1,0,0,0,0,1,1
"915",0,0,0,0,0,0,0,0,0,0
"916",0,0,1,0,0,0,0,0,1,0
"917",0,1,0,0,2,0,1,2,0,2
"918",0,0,0,0,0,0,0,0,0,0
"919",0,0,0,0,0,0,0,0,0,0
"920",0,0,0,0,0,0,0,0,1,0
"921",0,0,0,0,0,0,0,0,0,0
"922",0,0,0,0,0,0,0,0,1,0
"923",1,1,1,0,0,1,0,0,3,0
"924",0,1,0,0,0,0,0,0,0,2
"925",0,0,0,0,0,0,0,0,0,0
"926",0,0,0,0,0,0,0,0,0,0
"927",0,3,0,0,0,0,0,2,0,3
"928",4,2,0,4,1,0,1,2,4,1
"929",0,0,0,0,0,0,0,0,0,0
"930",0,1,1,0,0,0,1,2,0,3
"931",1,0,0,0,0,1,0,1,1,1
"932",0,0,0,0,1,0,0,1,0,1
"933",0,0,0,0,1,0,0,1,0,1
"934",0,0,0,0,1,0,0,1,0,1
"935",0,0,0,0,1,0,0,1,0,1
"936",0,0,0,0,1,0,0,1,0,1
"937",0,0,0,0,1,0,0,1,0,1
"938",0,0,0,0,1,0,0,1,0,1
"939",0,0,0,0,1,0,0,1,0,1
"940",0,0,0,0,1,0,0,1,0,1
"941",0,0,0,0,1,0,0,1,0,1
"942",0,0,0,0,1,0,0,1,0,1
"943",0,0,0,0,0,0,0,0,0,0
"944",0,0,0,0,0,0,0,0,0,0
"945",0,1,0,0,0,0,0,0,0,0
"946",0,0,0,0,1,0,0,0,0,1
"947",0,0,0,0,0,0,0,0,0,0
"948",0,1,0,0,1,1,1,1,1,1
"949",0,0,0,0,1,0,0,1,0,1
"950",1,1,1,1,1,1,1,1,1,1
"951",0,1,0,0,1,0,0,1,0,1
"952",0,0,0,0,0,0,0,0,0,0
"953",0,0,0,1,0,0,0,0,0,0
"954",0,0,0,0,0,0,0,0,0,0
"955",0,0,0,0,0,0,0,0,0,0
"956",0,2,0,0,0,0,0,1,0,2
"957",0,1,0,1,1,1,0,0,2,2
"958",0,0,0,0,0,0,0,0,0,0
"959",0,1,0,0,1,0,1,3,0,3
"960",0,1,0,1,1,1,0,7,2,5
"961",1,0,1,0,0,0,0,1,1,3
"962",0,4,0,0,3,0,2,4,0,4
"963",0,0,0,0,0,0,0,1,0,0
"964",0,0,0,0,0,1,0,0,1,0
"965",0,1,0,1,1,0,0,1,1,1
"966",1,0,1,0,0,0,0,0,1,1
"967",0,0,0,0,0,0,0,0,1,0
"968",0,0,0,0,0,0,0,0,0,0
"969",0,0,0,0,0,0,0,1,0,2
"970",0,0,0,0,0,0,0,0,0,0
"971",0,0,0,0,0,0,0,0,0,0
"972",1,1,1,0,0,0,0,0,2,0
"973",0,0,0,0,0,0,0,0,0,0
"974",1,2,0,0,1,0,1,2,2,2
"975",0,0,0,0,0,0,0,0,0,0
"976",0,0,0,0,1,0,0,0,0,1
"977",1,2,0,1,1,2,1,4,2,3
"978",1,0,1,1,1,1,0,1,1,2
"979",1,0,1,0,0,0,0,0,2,1
"980",0,0,0,0,0,0,0,0,0,0
"981",0,0,0,0,0,0,0,0,0,0
"982",0,0,0,0,0,0,0,1,0,1
"983",1,0,0,0,0,0,0,1,1,1
"984",0,1,0,0,0,0,0,0,0,0
"985",0,1,1,0,2,0,0,0,0,2
"986",0,0,0,0,0,0,0,0,0,0
"987",1,0,1,0,0,0,0,0,1,0
"988",0,0,0,0,0,0,0,0,0,0
"989",0,0,0,0,0,0,0,0,0,0
"990",0,0,0,0,0,0,0,0,0,0
"991",0,0,0,0,0,0,0,0,0,0
"992",0,1,0,0,0,0,1,1,0,0
"993",0,1,0,0,0,1,0,2,1,2
"994",1,0,0,0,0,1,0,0,2,0
"995",0,0,2,0,0,0,0,1,3,2
"996",0,1,0,0,1,0,1,1,0,2
"997",0,1,0,0,1,0,1,1,0,2
"998",0,0,0,0,0,0,0,1,0,1
"999",0,0,0,0,0,0,0,0,0,0
"1000",0,0,0,0,0,0,0,1,0,1
"1001",1,0,0,0,0,0,0,0,1,0
"1002",0,0,0,0,1,0,0,0,0,2
"1003",2,0,1,1,1,1,1,1,2,1
"1004",0,0,0,0,0,0,0,0,0,0
"1005",1,1,1,0,3,1,3,2,1,4
"1006",0,0,0,0,0,0,2,0,0,2
"1007",0,0,0,0,0,0,0,0,0,0
"1008",0,0,1,1,0,1,0,0,2,0
"1009",0,1,0,0,1,0,0,2,0,3
"1010",0,0,0,0,0,0,0,0,0,0
"1011",1,0,1,1,0,1,0,0,1,0
"1012",0,0,0,0,0,0,0,0,0,0
"1013",0,0,0,0,0,0,0,0,0,0
"1014",1,3,1,0,0,0,1,1,1,2
"1015",0,0,1,0,0,0,0,0,1,0
"1016",0,0,0,0,1,0,0,1,0,1
"1017",0,0,0,0,0,0,0,0,0,0
"1018",0,1,0,0,1,1,0,0,0,1
"1019",0,0,0,0,0,0,0,0,0,1
"1020",0,0,0,0,0,0,0,0,0,0
"1021",0,0,0,0,0,0,0,0,0,0
"1022",1,2,0,1,4,1,2,2,1,5
"1023",0,0,0,0,0,0,0,0,0,1
"1024",0,0,0,0,0,0,0,0,0,0
"1025",0,0,0,0,0,1,0,0,1,1
"1026",0,1,0,2,0,1,0,0,1,1
"1027",0,1,0,0,0,0,0,1,0,1
"1028",0,0,0,0,0,0,0,0,0,0
"1029",3,0,1,3,0,2,0,0,3,0
"1030",2,2,2,2,0,2,1,1,4,1
"1031",0,2,0,0,0,0,0,1,1,1
"1032",1,1,0,0,1,1,0,1,1,2
"1033",0,1,0,0,1,0,2,4,0,3
"1034",0,3,0,0,0,0,0,0,1,1
"1035",0,0,0,0,0,0,0,0,0,1
"1036",0,1,0,0,0,0,0,1,0,1
"1037",0,0,0,0,0,0,0,0,0,0
"1038",0,2,0,0,1,0,1,1,0,2
"1039",0,1,0,0,2,0,0,1,0,3
"1040",0,1,0,0,2,0,1,3,0,3
"1041",0,1,0,0,0,0,0,0,1,0
"1042",0,2,0,0,2,0,0,2,0,3
"1043",1,1,0,2,0,1,0,0,2,2
"1044",0,0,0,0,0,0,0,0,0,0
"1045",0,0,0,0,0,0,0,0,0,0
"1046",0,0,0,0,0,0,0,0,0,0
"1047",0,0,0,0,0,0,0,0,0,0
"1048",0,0,0,0,0,0,0,0,0,0
"1049",0,1,0,0,0,0,0,0,0,0
"1050",0,0,0,0,0,0,0,0,0,0
"1051",0,0,0,0,0,0,0,0,1,0
"1052",0,0,0,0,0,0,0,0,0,1
"1053",0,0,0,0,0,0,1,0,0,0
"1054",0,0,0,0,0,0,0,0,1,1
"1055",0,1,0,0,1,1,1,0,0,2
"1056",0,2,1,0,1,0,0,3,1,2
"1057",0,0,0,0,0,0,0,0,0,0
"1058",0,0,1,0,0,0,0,1,2,3
"1059",0,0,0,0,0,0,0,0,0,1
"1060",0,1,1,0,0,0,0,1,1,0
"1061",0,1,1,0,0,0,0,0,1,0
"1062",0,1,0,0,2,0,1,0,0,3
"1063",0,0,0,0,0,0,0,0,0,1
"1064",0,1,0,0,2,0,0,1,0,4
"1065",0,0,0,0,1,0,0,0,0,1
"1066",0,2,0,0,2,1,1,2,0,3
"1067",1,3,1,0,2,1,1,2,1,4
"1068",0,0,0,0,0,0,0,0,2,0
"1069",0,2,0,1,2,1,2,0,1,4
"1070",0,1,0,0,2,0,1,0,0,2
"1071",0,0,0,0,0,0,0,1,0,0
"1072",0,0,0,0,0,0,0,0,0,0
"1073",0,0,0,0,0,1,0,0,2,1
"1074",0,0,0,0,0,0,0,0,0,0
"1075",0,1,0,0,2,0,1,0,1,3
"1076",1,1,2,1,2,1,0,2,1,2
"1077",0,0,0,0,0,0,0,0,0,0
"1078",0,0,0,0,0,0,0,0,0,0
"1079",0,0,0,1,0,1,0,0,1,0
"1080",0,0,0,0,0,0,0,0,0,1
"1081",0,0,0,0,0,0,0,0,0,1
"1082",0,1,0,0,1,0,1,0,0,1
"1083",0,1,0,0,0,0,1,1,1,1
"1084",0,2,2,3,1,0,1,1,3,1
"1085",0,0,0,0,0,0,0,0,0,1
"1086",0,0,0,0,1,0,0,0,0,1
